Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description	BV_BRC_genome_id
	accn|LMZW01000052	4749	5279	+	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	BLASTX	177	177	100.0	98.31	177	WP_000381803.1	aminoglycoside nucleotidyltransferase ANT(2'')-Ia			470.1557
	accn|LMZW01000054	929	1705	+	aph(3')-VIa	aminoglycoside O-phosphotransferase APH(3')-VIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	BLASTX	259	259	100.0	99.23	259	WP_000422636.1	aminoglycoside O-phosphotransferase APH(3')-VIa			470.1557
	accn|LMYO01000038	67	879	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.0	100.0	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia			470.1558
	accn|LMYO01000045	1294	2490	+	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.0	100.0	399	WP_000804063.1	tetracycline efflux MFS transporter Tet(A)			470.1558
	accn|LMYO01000045	3096	4307	-	floR	chloramphenicol/florfenicol efflux MFS transporter FloR	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	EXACTX	404	404	100.0	100.0	404	WP_000214119.1	chloramphenicol/florfenicol efflux MFS transporter FloR			470.1558
	accn|LMYO01000063	268	1080	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2			470.1558
	accn|LNBZ01000064	25	837	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2			470.1561
	accn|LNCV01000018	11	1159	+	blaADC	ADC family extended-spectrum class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTX	383	383	100.0	99.74	383	WP_152951821.1	extended-spectrum class C beta-lactamase ADC-405			470.1562
	accn|LNCV01000079	846	1622	-	aph(3')-VIa	aminoglycoside O-phosphotransferase APH(3')-VIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	BLASTX	259	259	100.0	99.23	259	WP_000422636.1	aminoglycoside O-phosphotransferase APH(3')-VIa			470.1562
	accn|LNCW01000080	3780	4310	+	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	BLASTX	177	177	100.0	98.31	177	WP_000381803.1	aminoglycoside nucleotidyltransferase ANT(2'')-Ia			470.1563
	accn|LNCX01000014	86821	87969	-	blaADC	ADC family extended-spectrum class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTX	383	383	100.0	99.74	383	WP_152951821.1	extended-spectrum class C beta-lactamase ADC-405			470.1564
	accn|LNCX01000073	2344	2874	-	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	BLASTX	177	177	100.0	98.31	177	WP_000381803.1	aminoglycoside nucleotidyltransferase ANT(2'')-Ia			470.1564
	accn|LNCX01000081	66	878	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.0	100.0	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia			470.1564
	accn|LNCX01000090	29	805	-	aph(3')-VIa	aminoglycoside O-phosphotransferase APH(3')-VIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	BLASTX	259	259	100.0	99.61	259	WP_000422636.1	aminoglycoside O-phosphotransferase APH(3')-VIa			470.1564
	accn|LNCX01000094	239	1015	-	aph(3')-VIa	aminoglycoside O-phosphotransferase APH(3')-VIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	BLASTX	259	259	100.0	99.23	259	WP_000422636.1	aminoglycoside O-phosphotransferase APH(3')-VIa			470.1564
	accn|LNCY01000015	86823	87971	-	blaADC	ADC family extended-spectrum class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTX	383	383	100.0	99.74	383	WP_152951821.1	extended-spectrum class C beta-lactamase ADC-405			470.1565
	accn|LNCY01000056	23	835	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2			470.1565
	accn|LNCY01000075	457	1929	+	msr(E)	ABC-F type ribosomal protection protein Msr(E)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN	EXACTX	491	491	100.0	100.0	491	WP_000052512.1	ABC-F type ribosomal protection protein Msr(E)			470.1565
	accn|LNCY01000075	1988	2869	+	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	ERYTHROMYCIN	EXACTX	294	294	100.0	100.0	294	WP_000155092.1	Mph(E) family macrolide 2'-phosphotransferase			470.1565
	accn|470.2142.con.0001	1720	2538	-	blaOXA-23	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	273	273	100.0	100.0	273	WP_001046004.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23			470.2142
	accn|470.2142.con.0057	1321	1812	+	dfrA45	trimethoprim-resistant dihydrofolate reductase DfrA45	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	164	164	100.0	100.0	164	WP_049581834.1	trimethoprim-resistant dihydrofolate reductase DfrA45			470.2142
	accn|470.2143.con.0011	90833	91618	+	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	EXACTX	262	262	100.0	100.0	262	WP_001279068.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa			470.2143
	accn|470.2143.con.0040	562	1395	-	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTX	278	278	100.0	99.64	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id			470.2143
	accn|470.2143.con.0040	1398	2198	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.0	100.0	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib			470.2143
	accn|470.2143.con.0052	2640	3209	-	aac(6')-Ian	aminoglycoside N-acetyltransferase AAC(6')-Ian	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	EXACTX	190	190	100.0	100.0	190	WP_000960976.1	aminoglycoside N-acetyltransferase AAC(6')-Ian			470.2143
	accn|470.2143.con.0059	221	1423	-	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	401	401	100.0	99.75	401	WP_001089072.1	tetracycline efflux MFS transporter Tet(B)			470.2143
	accn|470.2158.con.0176	60	1208	+	blaADC-73	extended-spectrum class C beta-lactamase ADC-73	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.0	100.0	383	WP_001211219.1	extended-spectrum class C beta-lactamase ADC-73			470.2158
	accn|470.2158.con.0250	756	1568	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2			470.2158
	accn|470.2161.con.0155	257	1114	+	aac(3)-IIe	aminoglycoside N-acetyltransferase AAC(3)-IIe	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	286	286	100.0	100.0	286	WP_000557452.1	aminoglycoside N-acetyltransferase AAC(3)-IIe			470.2161
	accn|470.2162.con.0173	221	1423	-	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	401	401	100.0	100.0	401	WP_001089072.1	tetracycline efflux MFS transporter Tet(B)			470.2162
	accn|470.2162.con.0173	4799	5632	-	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.0	100.0	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id			470.2162
	accn|470.2162.con.0173	5635	6435	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.0	100.0	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib			470.2162
	accn|470.2168.con.0027	49140	49916	-	aph(3')-VIa	aminoglycoside O-phosphotransferase APH(3')-VIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	BLASTX	259	259	100.0	99.61	259	WP_000422636.1	aminoglycoside O-phosphotransferase APH(3')-VIa			470.2168
	accn|470.2168.con.0066	149	1006	-	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.0	100.0	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1			470.2168
	accn|470.2425.con.0013	17813	19012	-	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	400	401	99.75	100.0	400	WP_001089072.1	tetracycline efflux MFS transporter Tet(B)			470.2425
	accn|470.2425.con.0013	22388	23221	-	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTX	278	278	100.0	99.28	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id			470.2425
	accn|470.2425.con.0013	23224	24024	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.0	100.0	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib			470.2425
	accn|470.2425.con.0021	249	1397	+	blaADC-30	extended-spectrum class C beta-lactamase ADC-30	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.0	100.0	383	WP_001211218.1	extended-spectrum class C beta-lactamase ADC-30			470.2425
	accn|470.2426.con.0347	180	992	-	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.0	100.0	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia			470.2426
	accn|470.2427.con.0242	274	1092	+	blaOXA-23	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	273	273	100.0	100.0	273	WP_001046004.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23			470.2427
	accn|470.2431.con.0075	13886	15070	+	tet(39)	tetracycline efflux MFS transporter Tet(39)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	395	395	100.0	100.0	395	WP_004856455.1	tetracycline efflux MFS transporter Tet(39)			470.2431
	accn|470.2432.con.0039	191	1009	+	blaOXA-23	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	273	273	100.0	100.0	273	WP_001046004.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23			470.2432
	accn|470.2433.con.0025	5471	6241	+	armA	16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	257	257	100.0	100.0	257	WP_000359986.1	16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA			470.2433
	accn|470.2433.con.0025	8543	10015	+	msr(E)	ABC-F type ribosomal protection protein Msr(E)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN	EXACTX	491	491	100.0	100.0	491	WP_000052512.1	ABC-F type ribosomal protection protein Msr(E)			470.2433
	accn|470.2433.con.0025	10074	10955	+	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	ERYTHROMYCIN	EXACTX	294	294	100.0	100.0	294	WP_000155092.1	Mph(E) family macrolide 2'-phosphotransferase			470.2433
	accn|470.2433.con.0033	95982	97130	-	blaADC-401	extended-spectrum class C beta-lactamase ADC-401	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.0	100.0	383	WP_435892080.1	extended-spectrum class C beta-lactamase ADC-401			470.2433
	accn|470.2433.con.0053	1832	2650	-	blaOXA-23	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	273	273	100.0	100.0	273	WP_001046004.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23			470.2433
	accn|470.2433.con.0065	24761	25582	+	blaOXA-66	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	274	274	100.0	100.0	274	WP_001021792.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66			470.2433
	accn|470.2436.con.0042	2572	3720	-	blaADC-26	extended-spectrum class C beta-lactamase ADC-26	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.0	100.0	383	WP_001211238.1	extended-spectrum class C beta-lactamase ADC-26			470.2436
	accn|470.2436.con.0053	5341	5910	-	aac(6')-Ian	aminoglycoside N-acetyltransferase AAC(6')-Ian	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	EXACTX	190	190	100.0	100.0	190	WP_000960976.1	aminoglycoside N-acetyltransferase AAC(6')-Ian			470.2436
	accn|470.2436.con.0053	8970	9827	-	aac(3)-IIe	aminoglycoside N-acetyltransferase AAC(3)-IIe	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	286	286	100.0	100.0	286	WP_000557452.1	aminoglycoside N-acetyltransferase AAC(3)-IIe			470.2436
	accn|470.2436.con.0055	23909	24694	+	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	EXACTX	262	262	100.0	100.0	262	WP_001279068.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa			470.2436
	accn|470.2436.con.0152	6392	7213	-	blaOXA-64	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-64	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	274	274	100.0	100.0	274	WP_001021788.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-64			470.2436
	accn|470.2437.con.0024	25202	25987	+	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	EXACTX	262	262	100.0	100.0	262	WP_001279062.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa			470.2437
	accn|470.2437.con.0049	12181	13002	-	blaOXA-66	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	274	274	100.0	100.0	274	WP_001021792.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66			470.2437
	accn|470.2437.con.0069	702	1538	-	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1			470.2437
	accn|470.2437.con.0069	1535	1879	-	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1			470.2437
	accn|470.2437.con.0071	194	1006	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.0	100.0	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia			470.2437
	accn|470.2437.con.0079	3393	4217	+	blaOXA-72	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-72	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	275	275	100.0	100.0	275	WP_000713530.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-72			470.2437
	NODE_101_length_13547_cov_5.418405	6478	7299	-	blaOXA-66	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	274	274	100.0	100.0	274	WP_001021792.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66			470.243
	NODE_137_length_9453_cov_7.685717	5461	5922	-	aac(3)-Ia	aminoglycoside N-acetyltransferase AAC(3)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	154	154	100.0	100.0	154	WP_002089484.1	aminoglycoside N-acetyltransferase AAC(3)-Ia			470.243
	NODE_143_length_9090_cov_17.436907	2684	3508	-	blaOXA-24	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-24	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	275	275	100.0	100.0	275	WP_012754353.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-24			470.243
	NODE_20_length_33269_cov_5.957667	17518	18717	-	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	400	401	99.75	100.0	400	WP_001089072.1	tetracycline efflux MFS transporter Tet(B)			470.243
	NODE_20_length_33269_cov_5.957667	22093	22926	-	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.0	100.0	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id			470.243
	NODE_20_length_33269_cov_5.957667	22929	23729	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.0	100.0	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib			470.243
	NODE_210_length_4291_cov_4.891691	2986	4134	-	blaADC-30	extended-spectrum class C beta-lactamase ADC-30	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.0	100.0	383	WP_001211218.1	extended-spectrum class C beta-lactamase ADC-30			470.243
	NODE_29_length_31078_cov_6.316209	23852	24637	+	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	BLASTX	262	262	100.0	98.85	262	WP_001279062.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa			470.243
	accn|MPBY01000001	260037	260837	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.0	100.0	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib			470.2843
	accn|MPBY01000001	260840	261673	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.0	100.0	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id			470.2843
	accn|MPBY01000001	273278	273847	-	aac(6')-Ian	aminoglycoside N-acetyltransferase AAC(6')-Ian	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	EXACTX	190	190	100.0	100.0	190	WP_000960976.1	aminoglycoside N-acetyltransferase AAC(6')-Ian			470.2843
	accn|MPBY01000001	276236	277048	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2			470.2843
	accn|MPBY01000002	665536	666684	-	blaADC-214	extended-spectrum class C beta-lactamase ADC-214	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.0	100.0	383	WP_060454527.1	extended-spectrum class C beta-lactamase ADC-214			470.2843
	accn|MPBY01000002	1670594	1671415	+	blaOXA-65	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-65	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	274	274	100.0	100.0	274	WP_001021782.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-65			470.2843
	accn|MPBY01000002	1759263	1759832	-	aac(6')-Ian	aminoglycoside N-acetyltransferase AAC(6')-Ian	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	EXACTX	190	190	100.0	100.0	190	WP_000960976.1	aminoglycoside N-acetyltransferase AAC(6')-Ian			470.2843
	accn|MPBY01000002	3381821	3382606	-	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	BLASTX	262	262	100.0	99.24	262	WP_001112624.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa			470.2843
